,,,
EBS Volume,REGION :eu-west-1
VolumeId,Status,InstanceId,AttachTime,Size,Encryption_State
vol-05d91eca24fdabbfe,available,N/A,N/A,8,False
vol-03834bb045b5d93df,available,N/A,N/A,8,False
vol-0064b5348afe03c21,available,N/A,N/A,8,False
vol-0978bd787b279ec9b,available,N/A,N/A,20,False
vol-076ce3246307ec08d,available,N/A,N/A,20,False
vol-0a38dbb7a2aa9658f,available,N/A,N/A,20,False
vol-0e62719e6fec1beea,available,N/A,N/A,20,False
vol-02124f4949d30a0a3,available,N/A,N/A,20,False
vol-0bdcafc0a3dd129c7,in-use,i-00d4de7abe572d913,2018-10-01 20:29:10+00:00,20,False
vol-08ac8167c73144521,in-use,i-0744df07974be2a11,2018-10-01 20:29:10+00:00,20,False
vol-0bca5231cb24ac0dd,in-use,i-004c6d5902c3f2caa,2018-10-01 20:29:10+00:00,20,False
vol-04333ab789b995bf3,in-use,i-026cb23b91c036470,2018-10-01 20:29:10+00:00,20,False
vol-05406590c5ab7871d,in-use,i-07409cadf782b545c,2018-10-01 20:29:10+00:00,20,False
vol-066230dafdfc054fd,in-use,i-0a297ce905e453382,2018-10-04 11:48:04+00:00,20,False
vol-00a6882eb13d9c155,in-use,i-0e95a121fe32d1ff0,2018-10-04 11:48:05+00:00,20,False
vol-0008444faea446797,in-use,i-016bed44bb99f967c,2018-10-04 11:48:05+00:00,20,False
vol-0667a7a482ce2ec30,in-use,i-03d0226b401d078a5,2018-10-04 11:48:04+00:00,20,False
vol-00e4711b981abae7e,in-use,i-0afc5458b67ba2899,2018-10-04 12:15:26+00:00,20,False
vol-0125d8a3d4a345326,available,N/A,N/A,20,False
vol-0dfed0b4dedfeab2d,available,N/A,N/A,20,False
vol-00e4027ccf7c15056,available,N/A,N/A,20,False
vol-0656fac685f9728fc,in-use,i-022b3fbd95c326c89,2018-10-08 12:14:38+00:00,20,False
vol-069b66726a22fc4d7,in-use,i-0c8c71d0fd92dec5d,2018-10-08 12:14:38+00:00,20,False
vol-0381e091fd813ed9d,in-use,i-0ef4607904d0bfdd3,2018-10-08 12:14:38+00:00,20,False
vol-0a85b5fc4a7e0277c,in-use,i-0ef4607904d0bfdd3,2018-10-11 07:05:45+00:00,150,False
vol-0aab67b73f8ade5b9,in-use,i-0c8c71d0fd92dec5d,2018-10-11 07:07:39+00:00,150,False
vol-091e59171bda5f6ea,in-use,i-022b3fbd95c326c89,2018-10-11 07:09:52+00:00,150,False
vol-096fd066bc2ae6685,available,N/A,N/A,20,False
vol-05d3223c054b7d1bc,available,N/A,N/A,20,False
vol-00b91847530214f7c,in-use,i-02df6db06b781fde9,2018-10-12 16:05:24+00:00,20,False
vol-0505e73ea3afe9e90,in-use,i-083584b7d862c9e31,2018-10-15 12:12:52+00:00,20,False
vol-08ba592b2eed9deae,in-use,i-0d69d2dda35c03e1b,2018-10-15 12:12:55+00:00,20,False
vol-0d0b590fdc91a1d35,in-use,i-016648dfe40eed3e4,2018-10-15 12:12:52+00:00,20,False
vol-03ba0d59b8b867b7f,in-use,i-069441703514452a1,2018-10-15 12:12:51+00:00,20,False
vol-043f7b718345ecdf5,in-use,i-095316ebf45c8ae5f,2018-10-15 19:12:36+00:00,8,False
vol-0cb850e5c9ce1782f,available,N/A,N/A,8,False
vol-0cdf40fa110fb2a36,available,N/A,N/A,100,False
vol-0494ef3b5880b69e9,in-use,i-0a7947dacfe1db72b,2018-07-09 20:31:04+00:00,100,False
vol-01ff5d527fb91b99a,in-use,i-0cb93a22a21201556,2018-07-09 20:46:20+00:00,50,False
vol-0ec44abecbaa42bc2,available,N/A,N/A,20,False
vol-0cae353d354cd029f,in-use,i-02754b929a18a99f4,2018-07-10 15:38:45+00:00,20,False
vol-0f30550b7c2534ba5,in-use,i-0bb18f2f45f8f7dbe,2018-07-10 15:38:45+00:00,20,False
vol-04f3eed2ba1366f14,in-use,i-0287747bcad18a34d,2018-07-10 15:38:45+00:00,20,False
vol-047168969fa8b158d,in-use,i-0163fec7579459d8e,2018-07-10 15:57:10+00:00,20,False
vol-094caf313fc7af322,in-use,i-08b89311d2799c946,2018-07-11 14:21:04+00:00,20,False
vol-0ee516b6aaaa50c43,in-use,i-06a62c90c00806d6c,2018-07-11 17:25:37+00:00,20,False
vol-0998f197a2cef0fda,in-use,i-0586f1e1af4ed78dd,2018-07-11 21:11:30+00:00,20,False
vol-00c0cd7aef1ebe443,in-use,i-03a34d61f6a72a178,2018-07-11 21:19:43+00:00,20,False
vol-0dd05638e2943b303,in-use,i-0c91b84d862e02883,2018-07-12 05:57:52+00:00,20,False
vol-08f7ccc1c95401ba7,in-use,i-032f1adc92641fa09,2018-07-12 06:08:07+00:00,20,False
vol-0411e8c584d980030,in-use,i-0dfa95b81d1208928,2018-07-12 06:38:13+00:00,40,False
vol-0b18830f62e85b919,in-use,i-005dfedda5be66af5,2018-07-12 06:41:55+00:00,40,False
vol-0b5f01b6a3886a031,in-use,i-005277334456961fb,2018-07-12 06:41:55+00:00,40,False
vol-0342ddbda31800059,available,N/A,N/A,8,False
vol-0c607f170b970054d,in-use,i-025ee3f37fac16a44,2018-07-27 05:35:44+00:00,20,False
vol-0850a9699c1e9a024,in-use,i-01d9455a3c9d64080,2018-07-27 05:35:44+00:00,20,False
vol-045f0611016474a35,in-use,i-0014c6e05f5c5d759,2018-07-27 05:43:35+00:00,40,False
vol-053fa26a1c9f21af4,in-use,i-00195835b67d5a898,2018-07-30 21:23:47+00:00,20,False
vol-00643776928d1af5b,in-use,i-0ab476403bc2a32d9,2018-07-30 21:28:10+00:00,20,False
vol-0dbf624a3dd5b61c4,available,N/A,N/A,6,False
vol-0b904032caa8da964,available,N/A,N/A,40,False
vol-04e6cbd9c9fdc7e2e,available,N/A,N/A,40,False
vol-04e56dd6d0eba80df,available,N/A,N/A,40,False
vol-0f740847bfd799646,available,N/A,N/A,40,False
vol-0b96ea0ecd596aa02,available,N/A,N/A,6,False
vol-04b59930f03492ff5,available,N/A,N/A,6,False
vol-03d920b5e063e7b0e,available,N/A,N/A,6,False
vol-0093be0b3acfea7b1,available,N/A,N/A,40,False
vol-05dfb0633a632928c,available,N/A,N/A,40,False
vol-0083e0cf04b42257c,available,N/A,N/A,6,False
vol-01eb210b6b3d874cc,available,N/A,N/A,40,False
vol-0c127f447641f4800,available,N/A,N/A,6,False
vol-057bba374c1b9cde0,available,N/A,N/A,6,False
vol-0d9d67d5ce1784b44,available,N/A,N/A,6,False
vol-0b28a8db1f9c5b37b,available,N/A,N/A,40,False
vol-0b8f65ef33a8e6709,available,N/A,N/A,40,False
vol-0608f8f28ff62135e,available,N/A,N/A,6,False
vol-0d70965d1df6f2f68,available,N/A,N/A,40,False
vol-066f20f60f82c5421,available,N/A,N/A,40,False
vol-0960d2b998492ceaa,available,N/A,N/A,6,False
vol-09c8ea1801d714cf2,available,N/A,N/A,6,False
vol-02e1df277b8f8bd4d,available,N/A,N/A,6,False
vol-0360481ae776bb1fc,available,N/A,N/A,40,False
vol-0ad2a614ca0c47189,available,N/A,N/A,40,False
vol-036ad74f96a313258,available,N/A,N/A,40,False
vol-0306d356490fd86e5,available,N/A,N/A,6,False
vol-013d1f625b0663ca9,available,N/A,N/A,6,False
vol-0801401c3479d4f37,available,N/A,N/A,40,False
vol-0e3d3d22f04aeca4e,available,N/A,N/A,6,False
vol-01e04a52afef2ea4c,available,N/A,N/A,40,False
vol-0458b7a07605a617e,available,N/A,N/A,6,False
vol-0977bc353509e5d7c,available,N/A,N/A,40,False
vol-0f7aa7edbaf17db9a,available,N/A,N/A,6,False
vol-07fac19086214d8c0,available,N/A,N/A,40,False
vol-02ccabbd261d1fcd3,available,N/A,N/A,6,False
vol-03d85faa85252b077,available,N/A,N/A,6,False
vol-07b06b88481e069a3,available,N/A,N/A,40,False
vol-09c519b19006ee5ab,available,N/A,N/A,6,False
vol-07ec2b8ab8b719ee8,available,N/A,N/A,40,False
vol-0cec6b890c16443bd,available,N/A,N/A,6,False
vol-0694fe2cd793c8dd5,available,N/A,N/A,40,False
vol-0f58e67420a7deb58,available,N/A,N/A,6,False
vol-0f7fb3c4090dbd990,available,N/A,N/A,6,False
vol-00c1e48ed464057bf,available,N/A,N/A,6,False
vol-05f065f88482cdcf5,available,N/A,N/A,40,False
vol-0690147017981214b,available,N/A,N/A,40,False
vol-042f4eeaa73ba14be,available,N/A,N/A,40,False
vol-0f6f851ad63bef67f,available,N/A,N/A,6,False
vol-037909af208e5c07f,available,N/A,N/A,40,False
vol-03da28d4c7a8f8b51,available,N/A,N/A,6,False
vol-08660dd9f2fc75fd1,available,N/A,N/A,40,False
vol-084c5f9e8fa5130ca,available,N/A,N/A,40,False
vol-0d8c3b67bd428083e,available,N/A,N/A,6,False
vol-0beb6ea3d598c4719,available,N/A,N/A,6,False
vol-080b37c8891657708,available,N/A,N/A,6,False
vol-055d4b8c0b0a20020,available,N/A,N/A,6,False
vol-03d1741aeeaeb6d5b,available,N/A,N/A,40,False
vol-0c3ada451ea5279d6,available,N/A,N/A,40,False
vol-03ab05a0da770400a,available,N/A,N/A,40,False
vol-015775b20cd9d750a,available,N/A,N/A,6,False
vol-0fd0ed69416b14aaa,available,N/A,N/A,40,False
vol-0aa7810cbbd3489f2,available,N/A,N/A,6,False
vol-0cf7b8be154561a17,available,N/A,N/A,40,False
vol-0a917e0f4aa48c091,available,N/A,N/A,40,False
vol-01d65978f439e395b,available,N/A,N/A,6,False
vol-0dd0d248be67f672f,available,N/A,N/A,40,False
vol-0c0c753ecd2e4f5ac,available,N/A,N/A,6,False
vol-0004e28917146be86,available,N/A,N/A,6,False
vol-080fcacffc803d309,available,N/A,N/A,6,False
vol-0c9cabfa55c68bf3d,available,N/A,N/A,40,False
vol-0f9927f5ab2a43721,available,N/A,N/A,6,False
vol-0781bdf5499040047,available,N/A,N/A,40,False
vol-0eb412f85778cd2d9,available,N/A,N/A,40,False
vol-01e14a0f797e60566,available,N/A,N/A,6,False
vol-02fc95425ec2b4bd5,available,N/A,N/A,40,False
vol-0037e42c1e1c70e6a,available,N/A,N/A,40,False
vol-0a306d1f77e9c3982,available,N/A,N/A,40,False
vol-06ad0b063da1f88d6,available,N/A,N/A,6,False
vol-0a7cfecfda10ab9f4,available,N/A,N/A,6,False
vol-015d56105f1977257,in-use,i-08a12af1c3ed5166a,2018-08-02 21:13:44+00:00,40,False
vol-026d90e3660f5b9ac,in-use,i-08a12af1c3ed5166a,2018-08-02 21:13:44+00:00,6,False
vol-0557d29a3029d09d7,available,N/A,N/A,6,False
vol-0d23284b38c06be63,available,N/A,N/A,40,False
vol-0ad082cbb12eaa8b9,available,N/A,N/A,6,False
vol-05ce612ced6b68a0d,available,N/A,N/A,6,False
vol-0e4c15745bd0d3b7b,available,N/A,N/A,40,False
vol-0137bf9fa0d3158f9,available,N/A,N/A,6,False
vol-018d04242fe115c7f,available,N/A,N/A,40,False
vol-009ae2a78c1b2e455,available,N/A,N/A,40,False
vol-0712f8f5fc6e57b8b,available,N/A,N/A,40,False
vol-07d2ddcd908c7315b,available,N/A,N/A,6,False
vol-02d477d4f6b616200,available,N/A,N/A,40,False
vol-010a0f604fcccc240,available,N/A,N/A,6,False
vol-051d33e38b0fe3078,available,N/A,N/A,6,False
vol-0c8dc7ca3519a0c9f,available,N/A,N/A,40,False
vol-0385d1b094d7c1be6,available,N/A,N/A,6,False
vol-021dc12906591d036,available,N/A,N/A,20,False
vol-06bd4072c6a94a971,in-use,i-02a009de355081ca9,2018-08-09 05:51:06+00:00,30,False
vol-0ef14f287532cf40b,in-use,i-0420161d17729bdc0,2018-08-13 16:12:49+00:00,20,False
vol-0ac16121b15cbbc13,in-use,i-002bb6a0eb9a626d7,2018-08-13 16:13:40+00:00,20,False
vol-0d6e58428797bb795,available,N/A,N/A,20,False
vol-0b69c658ea17ee5b2,available,N/A,N/A,20,False
vol-0da0ac98b7129e3aa,available,N/A,N/A,20,False
vol-0a15d9054eaf57165,available,N/A,N/A,20,False
vol-0e42d9e4c849364cb,available,N/A,N/A,20,False
vol-057640afc7928bb83,available,N/A,N/A,20,False
vol-05061b58b24dc76c5,available,N/A,N/A,20,False
vol-0de44c62ae740ef56,in-use,i-0a6ef6cedc5cd2feb,2018-08-29 05:57:19+00:00,100,False
vol-0bdddcc4c9ab5bb34,available,N/A,N/A,40,False
vol-0b4c460ea0410bcf7,available,N/A,N/A,40,False
vol-0b4e09cf7a2362e8c,available,N/A,N/A,40,False
vol-010d278e5134f5a7d,available,N/A,N/A,40,False
vol-0d80a6ae7aff53b91,available,N/A,N/A,40,False
vol-02279e982cab59993,available,N/A,N/A,40,False
vol-0db7a11fef28c4500,available,N/A,N/A,60,False
vol-0d3dea5604793cdf7,available,N/A,N/A,60,False
vol-0051ba2324632b5aa,available,N/A,N/A,60,False
vol-00f49f348eb4a6097,available,N/A,N/A,40,False
vol-0a71a9495da2a8615,available,N/A,N/A,40,False
vol-061edb56af6a62220,available,N/A,N/A,40,False
vol-06b0d7a8cf3b334d1,available,N/A,N/A,40,False
vol-0995c95b54641c7a4,available,N/A,N/A,40,False
vol-0516ac51fa1274184,available,N/A,N/A,40,False
vol-03e2576e5815fc266,available,N/A,N/A,40,False
vol-0c5a8fd638d2b2532,available,N/A,N/A,40,False
vol-072780f609771ef08,available,N/A,N/A,40,False
vol-057f8a7f4a9845612,available,N/A,N/A,40,False
vol-014311912c82a2cdf,available,N/A,N/A,40,False
vol-02bb1d6d398c48f33,available,N/A,N/A,40,False
vol-03364856e78c3d633,available,N/A,N/A,40,False
vol-076deac0912615814,available,N/A,N/A,40,False
vol-0c0f001798666cdf8,available,N/A,N/A,40,False
vol-057238436b653ba56,available,N/A,N/A,40,False
vol-0616f4a00d603bb5a,available,N/A,N/A,40,False
vol-0117df4ded092d5f0,available,N/A,N/A,40,False
vol-0ea1959fd44f0e207,available,N/A,N/A,40,False
vol-032d59e5844c1b206,available,N/A,N/A,50,False
vol-03511a3b966646352,available,N/A,N/A,50,False
vol-0aa9f2b1c8a63fd25,available,N/A,N/A,50,False
vol-0fb4f84a1a050679f,available,N/A,N/A,50,False
vol-0d8e10f293c132e3d,available,N/A,N/A,50,False
vol-073bbe0b846165cb9,available,N/A,N/A,50,False
vol-006cb7a3fb5a7e081,available,N/A,N/A,50,False
vol-0d017b19dfe2506bb,available,N/A,N/A,50,False
vol-0eb7a66f57aef0c89,available,N/A,N/A,50,False
vol-067287debaeb76173,available,N/A,N/A,50,False
vol-0a5ec3916869f18ee,available,N/A,N/A,50,False
vol-0412d6a028a83f9b0,available,N/A,N/A,20,False
vol-019b5f0ecf25de653,available,N/A,N/A,20,False
vol-0dd788b1d6a2f20b6,available,N/A,N/A,20,False
vol-027262c3c88b71594,available,N/A,N/A,20,False
vol-0af1e71d10a9be197,available,N/A,N/A,20,False
vol-082fb0b81c21cfb22,available,N/A,N/A,20,False
vol-0ddb1583eec7887f1,available,N/A,N/A,20,False
vol-0a1f72a28138ad726,available,N/A,N/A,20,False
vol-041483f4a3ce9a414,available,N/A,N/A,20,False
vol-0daf388975a5e7341,available,N/A,N/A,40,False
vol-0122b36622bda1b54,available,N/A,N/A,20,False
vol-0549c34577b5928ca,available,N/A,N/A,20,False
vol-055a7d3a0a947a79e,available,N/A,N/A,20,False
vol-0cf0ae0dd731f60ab,available,N/A,N/A,20,False
vol-0d4b30f8b8f12ff46,available,N/A,N/A,8,False
vol-09f606fb27828f5d5,available,N/A,N/A,8,False
vol-0ebb67df152f91293,available,N/A,N/A,8,False
vol-02e8d50c74fc4c32c,available,N/A,N/A,8,False
vol-01ec537cd1a127c6e,available,N/A,N/A,20,False
vol-03b4465f0dce4acf5,available,N/A,N/A,20,False
vol-0ca75910ff0d1284c,available,N/A,N/A,20,False
vol-05e46f50bf1856fb6,in-use,i-03f21c22bf292a540,2018-09-27 16:08:27+00:00,40,False
vol-06a4bd13382120be9,available,N/A,N/A,20,False
